,MARKET_NAME,Arrivals_Tonnes,MinPrice_PerQuintal,MaxPrice_PerQuintal,Modal_Price_Per_Quintal
,Ahmednagar,2765,100,1400,750
,Ahmednagar,2078,100,1400,750
,Ahmednagar,2331,100,1500,800
,Ahmednagar,3188,100,1460,830
,Ahmednagar,3290,200,1500,850
,Ahmednagar,2658,100,1500,800
,Ahmednagar,2360,100,1450,800
,Ahmednagar,2261,100,975,625
,Ahmednagar,1973,100,900,450
,Ahmednagar,356,1600,6100,3850
,Ahmednagar,427,1500,8500,5000
,Ahmednagar,843,3675,6500,4050
,Ahmednagar,383,1500,6300,5250
,Ahmednagar,343,1500,6000,5025
,Ahmednagar,2102,100,1050,800
,Ahmednagar,1966,100,1105,825
,Ahmednagar,2061,100,1100,800
,Ahmednagar,1822,100,1125,825
,Ahmednagar,2840,100,1100,800
,Ahmednagar,1619,100,1075,800
,Ahmednagar,1372,100,1225,850
,Ahmednagar,2198,100,1110,800
,Ahmednagar,1926,100,1175,825
,Ahmednagar,2275,100,1100,800
,Ahmednagar,2181,100,1050,775
,Ahmednagar,1986,100,1025,750
,Ahmednagar,4302,100,2350,1700
,Ahmednagar,2944,100,2500,1700
,Ahmednagar,3088,100,2400,1600
,Ahmednagar,3476,100,1900,1100
,Ahmednagar,3636,100,2000,1200
,Ahmednagar,2850,100,2225,1350
,Ahmednagar,4146,100,2000,1200
,Ahmednagar,3388,100,2000,1250
,Ahmednagar,2515,300,2500,1400
,Ahmednagar,2860,200,2305,1400
,Ahmednagar,2626,100,1500,1100
,Ahmednagar,3787,100,1305,950
,Ahmednagar,3593,100,1250,900
,Ahmednagar,3398,100,1200,1050
,Ahmednagar,2918,100,1200,1000
,Ahmednagar,3024,100,1125,950
,Ahmednagar,2311,100,1600,1000
,Ahmednagar,2330,100,1575,1000
,Ahmednagar,2145,100,1100,600
,Ahmednagar,3711,200,2200,1200
,Ahmednagar,3777,200,2000,1100
,Ahmednagar,1736,200,1800,1400
,Ahmednagar,1516,200,1950,1400
,Ahmednagar,2626,200,2000,1400
,Ahmednagar,2444,200,2000,1400
,Ahmednagar,2613,200,1825,1300
,Ahmednagar,2451,200,1800,1300
,Ahmednagar,1287,500,2100,1300
,Ahmednagar,1230,500,2300,1400
,Ahmednagar,1141,500,2300,1400
,Ahmednagar,704,500,2500,1500
,Ahmednagar,1088,500,3000,1750
,Ahmednagar,1103,500,3500,2000
,Ahmednagar,1572,500,3250,1875
,Ahmednagar,1148,100,1200,675
,Ahmednagar,1539,100,1225,700
,Ahmednagar,1997,100,1150,700
,Ahmednagar,2206,100,1100,675
,Ahmednagar,1793,100,1150,800
,Ahmednagar,2314,100,1025,800
,Ahmednagar,2112,100,1100,800
,Ahmednagar,2030,100,1425,800
,Ahmednagar,3690,100,1305,750
,Ahmednagar,2749,100,1250,675
,Ahmednagar,1703,100,1325,725
,Ahmednagar,1567,100,1400,750
,Ahmednagar,1629,100,1450,800
,Ahmednagar,2449,100,1325,750
,Ahmednagar,1897,200,2700,1450
,Ahmednagar,1906,200,2800,1500
,Ahmednagar,2547,200,2500,1350
,Ahmednagar,1740,200,2350,1275
,Ahmednagar,1605,500,2500,1500
,Ahmednagar,1967,500,2400,1450
,Ahmednagar,1906,500,2400,1450
,Ahmednagar,1182,500,2300,1400
,Ahmednagar,1555,500,2200,1350
,Ahmednagar,2639,100,1000,700
,Ahmednagar,3995,100,950,550
,Ahmednagar,1875,100,1000,600
,Ahmednagar,2172,100,950,575
,Ahmednagar,2014,100,1000,550
,Ahmednagar,2987,100,1200,700
,Ahmednagar,2319,2000,3250,2200
,Ahmednagar,2682,200,3500,2000
,Ahmednagar,2495,200,3500,2100
,Ahmednagar,2057,200,3600,2200
,Ahmednagar,1757,200,4000,2600
,Ahmednagar,2734,200,4200,2800
,Ahmednagar,3133,100,3000,2200
,Ahmednagar,2535,100,3000,2000
,Ahmednagar,3256,100,3000,2000
,Ahmednagar,3732,100,2850,1900
,Ahmednagar,901,100,1255,850
,Ahmednagar,1060,100,1500,1000
,Ahmednagar,1647,200,1200,900
,Ahmednagar,1685,100,1400,1000
,Ahmednagar,1941,300,1700,1250
,Ahmednagar,2578,100,1000,650
,Ahmednagar,2257,300,1600,1200
,Ahmednagar,2594,300,1700,1300
,Ahmednagar,977,1500,4300,3900
,Ahmednagar,866,1500,4200,3800
,Ahmednagar,,300,4105,3100
,Ahmednagar,902,1500,5100,3300
,Ahmednagar,1160,1500,5000,3800
,Ahmednagar,1096,300,3725,2500
,Ahmednagar,,300,3725,2500
,Ahmednagar,1982,200,4325,3200
,Ahmednagar,,200,4325,3200
,Ahmednagar,2674,200,4000,2800
,Ahmednagar,1937,200,3900,2500
,Ahmednagar,634,50,925,600
,Ahmednagar,674,50,900,600
,Ahmednagar,1141,100,1000,750
,Ahmednagar,1133,100,1050,800
,Ahmednagar,1439,100,1000,750
,Ahmednagar,1614,100,1000,750
,Ahmednagar,1987,100,1050,750
,Ahmednagar,2375,100,1100,800
,Ahmednagar,2171,100,1000,750
,Ahmednagar,1834,100,1100,800
,Ahmednagar,352,2500,5100,4500
,Ahmednagar,222,1000,5500,4200
,Ahmednagar,132,1000,6000,4500
,Ahmednagar,172,1300,6700,4850
,Ahmednagar,1574,200,1075,800
,Ahmednagar,1578,100,1075,800
,Ahmednagar,2323,100,1050,800
,Ahmednagar,2437,100,950,750
,Ahmednagar,2089,100,1000,775
,Ahmednagar,2099,100,1000,750
,Ahmednagar,1490,100,1000,750
,Ahmednagar,2088,100,900,650
,Ahmednagar,1916,100,900,650
,Ahmednagar,1938,100,900,650
,Ahmednagar,1384,200,900,700
,Ahmednagar,2156,200,900,650
,Ahmednagar,2449,200,900,700
,Ahmednagar,2784,200,850,600
,Ahmednagar,2707,200,800,600
,Ahmednagar,2155,200,800,550
,Ahmednagar,2129,200,850,650
,Ahmednagar,4050,200,700,600
,Ahmednagar,3873,200,700,600
,Ahmednagar,3119,200,660,550
,Ahmednagar,2376,100,620,525
,Ahmednagar,2913,100,625,525
,Ahmednagar,2428,100,650,500
,Ahmednagar,2241,500,3505,3000
,Ahmednagar,4057,500,3300,2800
,Ahmednagar,3510,500,2700,2250
,Ahmednagar,3336,500,2800,2400
,Ahmednagar,2869,500,2700,2300
,Ahmednagar,2432,300,2400,2050
,Ahmednagar,1749,300,2500,2100
,Ahmednagar,1541,500,2800,2350
,Ahmednagar,1210,500,2800,2400
,Ahmednagar,1532,300,2000,1500
,Ahmednagar,1509,300,2000,1500
,Ahmednagar,1937,300,2100,1600
,Ahmednagar,2587,200,1300,900
,Ahmednagar,2628,200,1300,950
,Ahmednagar,3137,300,1300,1000
,Ahmednagar,1839,100,1300,850
,Ahmednagar,2612,300,1300,950
,Ahmednagar,2218,200,1300,950
,Ahmednagar,2409,200,1350,900
,Ahmednagar,2796,200,1300,850
,Ahmednagar,1871,200,1200,800
,Ahmednagar,1800,200,1200,750
,Ahmednagar,4872,500,3300,2500
,Ahmednagar,4488,500,3300,2500
,Ahmednagar,3698,700,4600,3800
,Ahmednagar,4315,700,3800,2800
,Ahmednagar,5006,700,3600,2800
,Ahmednagar,4801,500,3900,2800
,Ahmednagar,3310,500,3500,2400
,Ahmednagar,3602,200,1500,1000
,Ahmednagar,4393,200,1300,800
,Ahmednagar,3697,100,1100,850
,Ahmednagar,2360,100,1000,650
,Ahmednagar,2515,100,1300,850
,Ahmednagar,2715,100,1400,850
,Ahmednagar,3807,100,1300,800
,Ahmednagar,4552,100,1200,650
,Ahmednagar,4144,100,1000,700
,Ahmednagar,3676,100,1000,700
,Ahmednagar,3393,100,1000,520
,Ahmednagar,3113,100,1000,700
,Ahmednagar,2210,100,1225,800
,Ahmednagar,2905,100,750,600
,Ahmednagar,4045,100,700,550
,Ahmednagar,2948,100,800,650
,Ahmednagar,3693,100,700,500
,Ahmednagar,3104,100,650,500
,Ahmednagar,3218,100,650,500
,Ahmednagar,3502,100,600,500
,Ahmednagar,2498,100,850,700
,Ahmednagar,2448,200,850,700
,Ahmednagar,2621,200,810,650
,Ahmednagar,4908,100,1000,700
,Ahmednagar,5418,100,1000,700
,Ahmednagar,7202,100,900,650
,Ahmednagar,4497,100,800,600
,Ahmednagar,3373,100,800,600
,Ahmednagar,5074,100,800,600
,Ahmednagar,3927,100,725,600
,Ahmednagar,4908,100,1000,700
,Ahmednagar,5418,100,1000,700
,Ahmednagar,7202,100,900,650
,Ahmednagar,4497,100,800,600
,Ahmednagar,3373,100,800,600
,Ahmednagar,5074,100,800,600
,Ahmednagar,3927,100,725,600
,Ahmednagar,3804,100,1130,900
,Ahmednagar,4913,100,1000,800
,Ahmednagar,3056,100,900,700
,Ahmednagar,4852,100,850,700
,Ahmednagar,3443,100,800,600
,Ahmednagar,1901,100,1000,800
,Ahmednagar,2415,100,950,750
,Ahmednagar,2510,100,855,675
,Ahmednagar,1437,100,925,750
,Ahmednagar,1232,100,1000,800
,Ahmednagar,1818,100,900,700
,Ahmednagar,1623,100,925,750
,Ahmednagar,1978,100,1150,900
,Ahmednagar,2168,300,1600,1300
,Ahmednagar,2341,300,2000,1600
,Ahmednagar,3576,300,1705,1450
,Ahmednagar,3525,300,1700,1400
,Ahmednagar,3755,200,1500,1150
,Ahmednagar,2014,200,1400,1000
,Ahmednagar,2986,200,1500,1050
,Ahmednagar,3629,200,1500,1050
,Ahmednagar,3378,200,1500,1000
,Ahmednagar,3443,200,1500,1200
,Ahmednagar,3687,200,1400,1000
,Ahmednagar,2247,200,1400,950
,Ahmednagar,3008,200,1400,1050
,Ahmednagar,1498,200,1400,950
,Ahmednagar,1704,200,1350,900
,Ahmednagar,3196,200,1200,900
,Ahmednagar,2825,200,1300,850
,Ahmednagar,4527,100,1150,700
,Ahmednagar,2372,100,1200,750
,Ahmednagar,1890,100,1200,750
,Ahmednagar,2291,200,1400,800
,Ahmednagar,2726,200,1400,800
,Ahmednagar,3588,200,1400,1150
,Ahmednagar,3991,200,1400,1050
,Ahmednagar,2578,200,1400,1000
,Ahmednagar,2567,150,1500,1200
,Ahmednagar,1070,200,1050,850
,Ahmednagar,3483,200,1000,800
,Ahmednagar,3844,200,950,750
,Ahmednagar,3371,100,800,650
,Ahmednagar,1865,100,900,700
,Ahmednagar,1471,100,850,700
,Ahmednagar,1892,100,900,700
,Ahmednagar,4138,300,1200,900
,Ahmednagar,4485,300,1200,900
,Ahmednagar,5314,400,1200,900
,Ahmednagar,5310,300,1100,850
,Ahmednagar,4813,300,975,800
,Ahmednagar,4798,300,900,750
,Ahmednagar,3234,300,900,750
,Ahmednagar,2585,200,800,650
,Ahmednagar,1771,200,900,650
,Ahmednagar,2783,300,1100,700
,Ahmednagar,3086,300,1000,700
,Ahmednagar,1051,200,900,700
,Ahmednagar,3089,200,775,600
,Ahmednagar,3441,200,750,600
,Ahmednagar,2917,200,700,575
,Ahmednagar,3614,200,700,575
,Ahmednagar,2842,200,715,575
,Ahmednagar,4016,200,900,750
,Ahmednagar,3916,100,800,650
,Ahmednagar,3870,100,850,650
,Ahmednagar,3363,100,825,550
,Ahmednagar,2589,100,900,600
,Ahmednagar,2389,100,1000,600
,Ahmednagar,2092,150,700,550
,Ahmednagar,3235,100,580,475
,Ahmednagar,2980,100,560,450
,Ahmednagar,2467,100,625,525
,Ahmednagar,2644,100,630,525
,Ahmednagar,2326,100,625,525
,Ahmednagar,2369,100,680,525
,Ahmednagar,1756,100,700,575
,Ahmednagar,1650,100,750,625
,Ahmednagar,2723,100,750,625
,Ahmednagar,2663,100,1000,800
,Ahmednagar,2630,100,1000,800
,Ahmednagar,2466,300,1800,1450
,Ahmednagar,3513,300,2000,1500
,Ahmednagar,5444,300,1600,1200
,Ahmednagar,3646,300,1500,1200
,Ahmednagar,1681,500,3800,3200
,Ahmednagar,1556,500,4000,3400
,Ahmednagar,1583,500,3800,3200
,Ahmednagar,1548,500,3500,2900
,Ahmednagar,1181,500,3200,2600
,Ahmednagar,1405,500,3500,2900
,Ahmednagar,1400,550,4325,2550
,Ahmednagar,1736,500,4350,3700
,Ahmednagar,2827,800,5000,4300
,Ahmednagar,4952,500,4000,3400
,Ahmednagar,2638,200,1150,750
,Ahmednagar,2654,200,1160,750
,Ahmednagar,2466,200,1300,850
,Ahmednagar,2023,200,1600,950
,Ahmednagar,2223,200,1800,1400
,Ahmednagar,2767,200,1800,1200
,Ahmednagar,2470,200,1800,1300
,Ahmednagar,2958,300,1900,1450
,Ahmednagar,3473,300,1700,1300
,Ahmednagar,3296,300,1600,1200
,Ahmednagar,1403,300,2000,1600
,Ahmednagar,2307,300,2900,2450
,Ahmednagar,2037,500,2700,2200
,Ahmednagar,1734,500,4000,3500
,Ahmednagar,2096,300,3300,2800
,Ahmednagar,2069,200,3500,2900
,Ahmednagar,6032,300,1700,1200
,Ahmednagar,6144,300,2000,1400
,Ahmednagar,6331,300,1800,1300
,Ahmednagar,5057,400,2250,1600
,Ahmednagar,5529,500,1900,1500
,Ahmednagar,6398,500,2000,1400
,Ahmednagar,8524,400,1600,1300
,Ahmednagar,368,300,1300,1000
,Ahmednagar,2846,500,4000,2500
,Ahmednagar,3056,500,4000,2800
,Ahmednagar,3022,500,3500,2300
,Ahmednagar,2830,500,3500,2800
,Ahmednagar,4005,500,3600,2900
,Ahmednagar,4348,500,3600,2900
,Ahmednagar,5218,500,3400,2750
,Ahmednagar,6500,400,3200,2500
,Ahmednagar,6991,300,2800,2300
,Ahmednagar,2435,200,1300,800
,Ahmednagar,2669,200,1250,800
,Ahmednagar,2534,200,1200,700
,Ahmednagar,2300,200,1100,800
,Ahmednagar,2736,200,1200,750
,Ahmednagar,2478,200,1150,900
,Ahmednagar,2687,200,1100,750
,Ahmednagar,2432,200,1100,750
,Ahmednagar,2026,200,1100,750
,Ahmednagar,2223,200,1100,800
,Ahmednagar,2077,200,1150,750
,Ahmednagar,1944,500,2200,1600
,Ahmednagar,2179,500,2200,1600
,Ahmednagar,2627,300,1900,1500
,Ahmednagar,2990,300,1800,1300
,Ahmednagar,2598,200,1800,1300
,Ahmednagar,2071,200,1700,1250
,Ahmednagar,1314,200,1600,1200
,Ahmednagar,924,200,2100,1700
,Ahmednagar,1736,200,2100,1700
,Ahmednagar,2314,300,2000,1600
,Ahmednagar,1951,300,1800,1400
,Akluj,3,700,1400,1000
,Akluj,7,500,1200,1000
,Akluj,3,900,1500,1200
,Akluj,3,1000,1500,1200
,Akluj,3,500,1200,900
,Akluj,3,800,1500,1000
,Akluj,9,900,1200,1000
,Akluj,4,1200,1500,1350
,Akluj,4,700,1300,1000
,Akluj,3,800,1300,1000
,Akluj,3,800,1300,1000
,Akluj,4,600,1200,1000
,Akluj,4,500,1200,1000
,Akluj,3,700,1300,900
,Akluj,3,900,1300,1000
,Akluj,4,1000,1300,1200
,Akluj,9,800,1200,1000
,Akluj,4,1000,1400,1100
,Akluj,4,700,1300,1200
,Akluj,5,400,900,900
,Akluj,7,400,1200,1200
,Akluj,7,400,800,800
,Akluj,8,300,800,800
,Akluj,8,300,900,900
,Akluj,6,300,800,800
,Akluj,9,400,800,800
,Akluj,6,300,700,700
,Akluj,5,300,600,600
,Akluj,3,1500,3800,3800
,Akluj,9,1500,4000,4000
,Akluj,2,1300,3400,3400
,Akluj,5,1500,3800,3800
,Akluj,3,2500,3500,3500
,Akluj,2,1500,3500,3500
,Akluj,9,2000,4100,4100
,Akluj,2,1500,4000,4000
,Akluj,3,2500,4400,4400
,Akluj,2,2000,4000,4000
,Akluj,9,2500,4500,4500
,Akluj,3,2500,4500,4500
,Akluj,1,3000,4800,4800
,Akluj,1,3000,6000,6000
,Akluj,4,3000,6000,6000
,Akluj,3,2500,6000,6000
,Akluj,3,2500,6000,6000
,Akluj,2,2500,5000,5000
,Akluj,2,2500,5200,5200
,Akluj,4,300,800,800
,Akluj,1,200,700,700
,Akluj,2,300,700,700
,Akluj,3,300,800,800
,Akluj,3,300,1000,1000
,Akluj,4,300,900,900
,Akluj,4,400,1000,1000
,Akluj,3,300,800,800
,Akluj,3,400,800,800
,Akluj,3,300,900,900
,Akluj,3,300,800,800
,Akluj,2,400,1000,1000
,Akluj,4,500,1000,1000
,Akluj,3,400,1200,1200
,Akluj,2,400,700,700
,Akluj,4,300,800,800
,Akluj,1,300,700,700
,Akluj,2,300,800,800
,Akluj,5,300,500,500
,Akluj,3,300,700,700
,Akluj,3,300,800,800
,Akluj,3,300,700,700
,Akluj,4,400,800,800
,Akluj,4,200,700,700
,Akluj,3,300,900,900
,Akluj,6,1000,3500,3500
,Akluj,5,700,2000,2000
,Akluj,6,1000,3000,3000
,Akluj,9,1000,2700,2700
,Akluj,17,1000,3000,3000
,Akluj,5,1200,3200,3200
,Akluj,4,700,2500,2500
,Akluj,7,1000,2500,2500
,Akluj,7,700,2000,2000
,Akluj,5,700,2300,2300
,Akluj,5,900,2100,2100
,Akluj,5,1000,2200,2200
,Akluj,4,900,2100,2100
,Akluj,4,700,1600,1600
,Akluj,9,1000,1600,1600
,Akluj,3,1000,1800,1800
,Akluj,3,800,1900,1900
,Akluj,12,500,1000,600
,Akluj,14,300,1000,600
,Akluj,16,300,1100,600
,Akluj,11,300,700,500
,Akluj,18,300,600,500
,Akluj,18,300,800,500
,Akluj,15,300,700,500
,Akluj,15,500,800,600
,Akluj,11,200,500,400
,Akluj,9,500,800,700
,Akluj,11,300,800,500
,Akluj,11,200,800,600
,Akluj,8,300,600,500
,Akluj,8,400,700,500
,Akluj,13,300,700,500
,Akluj,13,400,700,500
,Akluj,13,300,600,500
,Akluj,12,200,600,400
,Akluj,10,300,700,500
,Akluj,9,300,700,500
,Akluj,16,300,700,500
,Akluj,10,300,700,500
,Akluj,19,500,700,600
,Akluj,16,400,750,500
,Akluj,19,500,800,700
,Akluj,15,500,1600,1350
,Akluj,1.5,1000,1800,1500
,Akluj,4.5,700,1600,1200
,Akluj,3.8,600,1500,1100
,Akluj,3,900,2000,1400
,Akluj,6,900,2000,1400
,Akluj,8,1200,1800,1500
,Akluj,4,800,1600,1200
,Akluj,5,1200,2000,1500
,Akluj,7,700,1800,1800
,Akluj,5,700,1600,1600
,Akluj,5,700,1300,1300
,Akluj,4,800,1900,1900
,Akluj,4,800,2100,2100
,Akluj,7,600,2300,2300
,Akluj,6,700,2000,2000
,Akluj,3,700,2100,2100
,Akluj,4,800,1800,1800
,Akluj,12,600,1800,1800
,Akluj,7,500,1300,1300
,Akluj,8,700,1800,1800
,Akluj,6,600,1600,1600
,Akluj,6,600,1500,1500
,Akluj,4,700,1500,1500
,Akluj,8,600,1400,1400
,Akluj,3,800,2000,2000
,Akluj,7,800,2000,2000
,Akluj,7,1500,3000,3000
,Akluj,4,1000,2500,2500
,Akluj,4,1000,2200,2200
,Akluj,3,900,2300,2300
